#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,string,string,double
#default,_result,,,,,
,result,table,_time,_measurement,host,usage_user
,,0,2021-05-09T20:00:00Z,cpu,Orient.local,1.3060051241426953
,,0,2021-05-09T20:00:00Z,cpu,tortuga,0.09685986564617653
,,0,2021-05-09T20:00:10Z,cpu,Orient.local,2.185860604481495
,,0,2021-05-09T20:00:10Z,cpu,tortuga,0.11880569016749998
,,0,2021-05-09T20:00:20Z,cpu,tortuga,0.08128048017992752
,,0,2021-05-09T20:00:20Z,cpu,Orient.local,2.7508596436572934
,,0,2021-05-09T20:00:30Z,cpu,Orient.local,4.125773582635691
,,0,2021-05-09T20:00:30Z,cpu,tortuga,0.1626321386126456
,,0,2021-05-09T20:00:40Z,cpu,Orient.local,3.348953451871231
,,0,2021-05-09T20:00:40Z,cpu,tortuga,0.08124746101639976
,,0,2021-05-09T20:00:50Z,cpu,Orient.local,2.1820682755284073
,,0,2021-05-09T20:00:50Z,cpu,tortuga,0.08437763680122752
,,0,2021-05-09T20:01:00Z,cpu,Orient.local,1.7069968110963927
,,0,2021-05-09T20:01:00Z,cpu,tortuga,0.07188623222381592
,,0,2021-05-09T20:01:10Z,cpu,tortuga,0.06876504235344266
,,0,2021-05-09T20:01:10Z,cpu,Orient.local,2.695771828987005
,,0,2021-05-09T20:01:20Z,cpu,tortuga,0.043756837005447385
,,0,2021-05-09T20:01:20Z,cpu,Orient.local,4.099588169319055
,,0,2021-05-09T20:01:30Z,cpu,Orient.local,9.265558074745341
,,0,2021-05-09T20:01:30Z,cpu,tortuga,0.09691134175303207
,,0,2021-05-09T20:01:40Z,cpu,Orient.local,9.268565047561946
,,0,2021-05-09T20:01:40Z,cpu,tortuga,0.05313164145521082
,,0,2021-05-09T20:01:50Z,cpu,Orient.local,7.5413933144192855
,,0,2021-05-09T20:01:50Z,cpu,tortuga,0.06252149176308644
,,0,2021-05-09T20:02:00Z,cpu,tortuga,0.11254572169958305
,,0,2021-05-09T20:02:00Z,cpu,Orient.local,7.2464674254449095
,,0,2021-05-09T20:02:10Z,cpu,Orient.local,2.476857643282995
,,0,2021-05-09T20:02:10Z,cpu,tortuga,0.09375585974114833
,,0,2021-05-09T20:02:20Z,cpu,Orient.local,1.2554653341602782
,,0,2021-05-09T20:02:20Z,cpu,tortuga,0.12816905811381543
,,0,2021-05-09T20:02:30Z,cpu,Orient.local,1.268591426063212
,,0,2021-05-09T20:02:30Z,cpu,tortuga,0.10312499999997726
,,0,2021-05-09T20:02:40Z,cpu,Orient.local,1.5999000061598807
,,0,2021-05-09T20:02:40Z,cpu,tortuga,0.0625234462924269
,,0,2021-05-09T20:02:50Z,cpu,Orient.local,2.882330874184798
,,0,2021-05-09T20:02:50Z,cpu,tortuga,0.053133302078441566
,,0,2021-05-09T20:03:00Z,cpu,tortuga,0.07502109968440143
,,0,2021-05-09T20:03:00Z,cpu,Orient.local,2.4831123343072705
,,0,2021-05-09T20:03:10Z,cpu,Orient.local,2.715525313535945
,,0,2021-05-09T20:03:10Z,cpu,tortuga,0.07500234382312387
,,0,2021-05-09T20:03:20Z,cpu,tortuga,0.05938056692835708
,,0,2021-05-09T20:03:20Z,cpu,Orient.local,3.4135667396782403
,,0,2021-05-09T20:03:30Z,cpu,Orient.local,5.3905321741417564
,,0,2021-05-09T20:03:30Z,cpu,tortuga,0.13445903689783903
,,0,2021-05-09T20:03:40Z,cpu,tortuga,0.07811767646799482
,,0,2021-05-09T20:03:40Z,cpu,Orient.local,3.0282217783475462
,,0,2021-05-09T20:03:50Z,cpu,Orient.local,2.7973790322438683
,,0,2021-05-09T20:03:50Z,cpu,tortuga,0.07502579011536255
,,0,2021-05-09T20:04:00Z,cpu,tortuga,0.07500468779259575
,,0,2021-05-09T20:04:00Z,cpu,Orient.local,2.0185081672207374
,,0,2021-05-09T20:04:10Z,cpu,tortuga,0.09373535385106077
,,0,2021-05-09T20:04:10Z,cpu,Orient.local,2.5161980246854903
,,0,2021-05-09T20:04:20Z,cpu,Orient.local,2.1608196212640616
,,0,2021-05-09T20:04:20Z,cpu,tortuga,0.10626328291011235
,,0,2021-05-09T20:04:30Z,cpu,Orient.local,2.1620946073224157
,,0,2021-05-09T20:04:30Z,cpu,tortuga,0.10627989121971085
,,0,2021-05-09T20:04:40Z,cpu,tortuga,0.0781420935828166
,,0,2021-05-09T20:04:40Z,cpu,Orient.local,2.723297938826899
,,0,2021-05-09T20:04:50Z,cpu,tortuga,0.06875429714347088
,,0,2021-05-09T20:04:50Z,cpu,Orient.local,1.4064258031887231
,,0,2021-05-09T20:05:00Z,cpu,tortuga,0.662831415706483
,,0,2021-05-09T20:05:00Z,cpu,Orient.local,2.3497062867812466
,,0,2021-05-09T20:05:10Z,cpu,tortuga,0.06251172094782503
,,0,2021-05-09T20:05:10Z,cpu,Orient.local,3.095878416370618
,,0,2021-05-09T20:05:20Z,cpu,tortuga,0.09066466579115692
,,0,2021-05-09T20:05:20Z,cpu,Orient.local,5.023116331324187
